GBD,RLBRMTR12,RLBWON12,RLBBEV12,RLBVRZ12,RLBVEI12,RLBFYS12,RLBRMTR14,RLBWON14,RLBBEV14,RLBVRZ14,RLBVEI14,RLBFYS14,RLBRMTR16,RLBWON16,RLBBEV16,RLBVRZ16,RLBVEI16,RLBFYS16,RLBRMTR18,RLBWON18,RLBBEV18,RLBVRZ18,RLBVEI18,RLBFYS18
1011,0.278,0.159,-0.004,0.490,-0.231,-0.136,0.267,0.152,-0.004,0.502,-0.252,-0.130,0.229,0.120,0.004,0.528,-0.286,-0.137,0.199,0.114,0.005,0.531,-0.312,-0.139
1012,0.565,0.244,-0.028,0.687,-0.329,-0.008,0.455,0.222,-0.020,0.711,-0.443,-0.016,0.480,0.194,-0.004,0.787,-0.495,-0.002,0.470,0.184,-0.004,0.792,-0.483,-0.019
1013,-0.035,0.111,-0.066,0.301,-0.164,-0.217,-0.070,0.105,-0.057,0.298,-0.203,-0.214,-0.033,0.103,-0.052,0.331,-0.205,-0.210,-0.057,0.097,-0.050,0.336,-0.217,-0.222
1014,-0.356,-0.057,-0.244,0.162,-0.045,-0.172,-0.390,-0.109,-0.155,0.149,-0.096,-0.179,-0.027,0.019,-0.073,0.202,-0.050,-0.125,-0.004,0.034,-0.036,0.205,-0.073,-0.134
1015,0.381,0.186,-0.003,0.657,-0.164,-0.295,0.361,0.179,0.008,0.668,-0.198,-0.296,0.379,0.159,0.019,0.714,-0.220,-0.293,0.302,0.152,0.023,0.667,-0.244,-0.296
1016,0.481,0.203,0.005,0.668,-0.206,-0.190,0.467,0.193,0.012,0.680,-0.229,-0.189,0.507,0.172,0.022,0.729,-0.232,-0.183,0.534,0.150,0.031,0.790,-0.245,-0.192
1017,0.730,0.231,0.022,0.741,-0.225,-0.039,0.696,0.216,0.032,0.754,-0.265,-0.041,0.681,0.197,0.033,0.776,-0.293,-0.033,0.608,0.183,0.044,0.715,-0.294,-0.040
1018,0.111,0.128,-0.059,0.334,-0.161,-0.131,0.072,0.125,-0.049,0.318,-0.191,-0.131,0.035,0.106,-0.036,0.316,-0.213,-0.137,0.061,0.100,-0.029,0.333,-0.212,-0.132
1019,0.030,0.074,-0.072,0.166,-0.063,-0.076,0.011,0.072,-0.059,0.154,-0.079,-0.076,0.012,0.071,-0.054,0.161,-0.091,-0.075,0.019,0.070,-0.047,0.155,-0.082,-0.078
1021,-0.472,0.028,-0.218,0.134,-0.295,-0.122,-0.469,0.028,-0.198,0.124,-0.301,-0.121,-0.409,0.032,-0.178,0.125,-0.276,-0.112,-0.394,0.036,-0.169,0.134,-0.274,-0.121
1022,-0.167,-0.012,-0.136,0.132,-0.121,-0.029,-0.118,-0.001,-0.113,0.123,-0.094,-0.033,-0.043,0.031,-0.095,0.119,-0.063,-0.034,-0.026,0.032,-0.078,0.098,-0.030,-0.048
